num_iteration,func_name,start_unix_timestamp,end_unix_timestamp,elapsed_ms
0,mandelbrot_seq,1747848898.368258,1747848898.521487,153.229
1,mandelbrot_seq,1747848898.688699,1747848898.842036,153.337
2,mandelbrot_seq,1747848898.994148,1747848899.145478,151.330
3,mandelbrot_seq,1747848899.291777,1747848899.443606,151.829
4,mandelbrot_seq,1747848899.586464,1747848899.739543,153.080
5,mandelbrot_seq,1747848899.896972,1747848900.049249,152.277
6,mandelbrot_seq,1747848900.213427,1747848900.365736,152.309
7,mandelbrot_seq,1747848900.508260,1747848900.660686,152.426
8,mandelbrot_seq,1747848900.788245,1747848900.939902,151.657
9,mandelbrot_seq,1747848901.078149,1747848901.229484,151.335
10,mandelbrot_seq,1747848901.366160,1747848901.517719,151.559
11,mandelbrot_seq,1747848901.663302,1747848901.815442,152.140
12,mandelbrot_seq,1747848901.966840,1747848902.117843,151.004
13,mandelbrot_seq,1747848902.263775,1747848902.415677,151.902
14,mandelbrot_seq,1747848902.586415,1747848902.737586,151.171
15,mandelbrot_seq,1747848902.874591,1747848903.025669,151.078
16,mandelbrot_seq,1747848903.179481,1747848903.330552,151.071
17,mandelbrot_seq,1747848903.483279,1747848903.634944,151.665
18,mandelbrot_seq,1747848903.779133,1747848903.930946,151.813
19,mandelbrot_seq,1747848904.096640,1747848904.248409,151.770
20,mandelbrot_seq,1747848904.393070,1747848904.544436,151.366
21,mandelbrot_seq,1747848904.711335,1747848904.863531,152.196
22,mandelbrot_seq,1747848905.011990,1747848905.162886,150.896
23,mandelbrot_seq,1747848905.316600,1747848905.468798,152.199
24,mandelbrot_seq,1747848905.639374,1747848905.790464,151.090
25,mandelbrot_seq,1747848905.943002,1747848906.094183,151.182
26,mandelbrot_seq,1747848906.248039,1747848906.399652,151.613
27,mandelbrot_seq,1747848906.558444,1747848906.709934,151.491
28,mandelbrot_seq,1747848906.869562,1747848907.020219,150.656
29,mandelbrot_seq,1747848907.173790,1747848907.324853,151.064
30,mandelbrot_seq,1747848907.480004,1747848907.630924,150.920
31,mandelbrot_seq,1747848907.776891,1747848907.927965,151.074
32,mandelbrot_seq,1747848908.075233,1747848908.226879,151.647
33,mandelbrot_seq,1747848908.380917,1747848908.532732,151.815
34,mandelbrot_seq,1747848908.675472,1747848908.826871,151.400
35,mandelbrot_seq,1747848908.975134,1747848909.126255,151.121
36,mandelbrot_seq,1747848909.264525,1747848909.415740,151.214
37,mandelbrot_seq,1747848909.572221,1747848909.723310,151.089
38,mandelbrot_seq,1747848909.885973,1747848910.037669,151.695
39,mandelbrot_seq,1747848910.201314,1747848910.353008,151.694
40,mandelbrot_seq,1747848910.520274,1747848910.672039,151.765
41,mandelbrot_seq,1747848910.847143,1747848910.997975,150.831
42,mandelbrot_seq,1747848911.143160,1747848911.295591,152.431
43,mandelbrot_seq,1747848911.438136,1747848911.590418,152.282
44,mandelbrot_seq,1747848911.750980,1747848911.902707,151.727
