num_iteration,func_name,start_unix_timestamp,end_unix_timestamp,elapsed_ms
0,mandelbrot_seq,1748013345.698860,1748013345.727855,28.996
1,mandelbrot_seq,1748013346.027356,1748013346.053175,25.819
2,mandelbrot_seq,1748013346.325724,1748013346.351567,25.843
3,mandelbrot_seq,1748013346.632445,1748013346.658370,25.925
4,mandelbrot_seq,1748013346.917051,1748013346.943203,26.152
5,mandelbrot_seq,1748013347.207966,1748013347.233109,25.144
6,mandelbrot_seq,1748013347.498586,1748013347.532161,33.575
7,mandelbrot_seq,1748013347.795074,1748013347.823347,28.273
8,mandelbrot_seq,1748013348.100923,1748013348.126042,25.119
9,mandelbrot_seq,1748013348.394648,1748013348.424006,29.358
10,mandelbrot_seq,1748013348.679014,1748013348.703810,24.796
11,mandelbrot_seq,1748013348.969364,1748013348.996250,26.886
12,mandelbrot_seq,1748013349.264165,1748013349.289962,25.798
13,mandelbrot_seq,1748013349.552504,1748013349.581049,28.545
14,mandelbrot_seq,1748013349.853573,1748013349.883647,30.074
15,mandelbrot_seq,1748013350.146938,1748013350.172827,25.890
16,mandelbrot_seq,1748013350.430879,1748013350.456024,25.145
17,mandelbrot_seq,1748013350.714555,1748013350.739949,25.393
18,mandelbrot_seq,1748013351.005427,1748013351.030070,24.643
19,mandelbrot_seq,1748013351.293265,1748013351.320479,27.214
20,mandelbrot_seq,1748013351.592916,1748013351.626844,33.929
21,mandelbrot_seq,1748013351.903521,1748013351.944643,41.122
22,mandelbrot_seq,1748013352.211810,1748013352.241903,30.093
23,mandelbrot_seq,1748013352.514568,1748013352.548851,34.283
24,mandelbrot_seq,1748013352.819062,1748013352.861059,41.997
25,mandelbrot_seq,1748013353.121962,1748013353.162588,40.626
26,mandelbrot_seq,1748013353.423776,1748013353.454592,30.815
27,mandelbrot_seq,1748013353.719239,1748013353.749126,29.887
28,mandelbrot_seq,1748013354.033231,1748013354.068244,35.012
29,mandelbrot_seq,1748013354.356579,1748013354.382275,25.696
30,mandelbrot_seq,1748013354.641255,1748013354.674073,32.819
31,mandelbrot_seq,1748013354.967810,1748013354.996765,28.955
32,mandelbrot_seq,1748013355.271180,1748013355.299970,28.790
33,mandelbrot_seq,1748013355.570920,1748013355.608794,37.874
34,mandelbrot_seq,1748013355.884721,1748013355.918098,33.378
35,mandelbrot_seq,1748013356.196287,1748013356.229585,33.298
36,mandelbrot_seq,1748013356.503362,1748013356.531196,27.834
37,mandelbrot_seq,1748013356.803684,1748013356.832658,28.974
